reservoir_id,month,mean_fill_pct
25682,6,18.47
25682,7,21.58
25682,8,16.5
25682,9,14.96
25682,10,9.48
25682,11,18.67
25682,12,16.86
25685,1,5.18
25685,2,4.49
25685,3,2.62
25685,4,1.26
25685,5,0.6
25685,6,1.32
25685,7,1.21
25685,8,1.14
25685,9,1.69
25685,10,3.11
25685,11,4.0
25685,12,7.02
25689,1,0.81
25689,2,0.35
25689,3,0.16
25689,4,0.07
25689,5,0.06
25689,6,0.29
25689,7,0.52
25689,8,0.78
25689,9,0.88
25689,10,1.56
25689,11,1.53
25689,12,0.66
25693,1,2.19
25693,2,2.11
25693,3,8.29
25693,4,1.71
25693,5,1.73
25693,6,1.64
25693,7,1.7
25693,8,1.63
25693,9,1.65
25693,10,1.78
25693,11,1.97
25693,12,2.1
25695,1,1.17
25695,2,1.22
25695,3,1.15
25695,4,1.11
25695,5,0.78
25695,6,0.48
25695,7,0.65
25695,8,0.54
25695,9,0.39
25695,10,0.27
25695,11,0.8
25695,12,1.1
25696,1,0.41
25696,2,0.38
25696,3,0.36
25696,4,0.26
25696,5,0.21
25696,6,0.12
25696,7,0.17
25696,8,0.18
25696,9,0.35
25696,10,0.06
25696,11,0.26
25696,12,0.27
25700,1,13.31
25700,2,13.28
25700,3,12.04
25700,4,10.11
25700,5,9.56
25700,6,7.27
25700,7,8.6
25700,8,10.25
25700,9,12.0
25700,10,13.84
25700,11,13.93
25700,12,27.59
25701,1,2.14
25701,2,2.22
25701,3,1.89
25701,4,1.26
25701,5,1.04
25701,6,1.13
25701,7,1.31
25701,8,1.62
25701,9,1.57
25701,10,2.5
25701,11,2.96
25701,12,16.62
25702,1,3.54
25702,2,2.57
25702,3,5.23
25702,4,3.78
25702,5,3.12
25702,6,2.03
25702,7,1.16
25702,8,0.58
25702,9,0.16
25702,10,2.88
25702,11,4.62
25702,12,4.45
25704,1,4.26
25704,2,4.17
25704,3,5.59
25704,4,4.4
25704,5,3.83
25704,6,2.77
25704,7,2.29
25704,8,1.02
25704,9,1.12
25704,10,2.96
25704,11,4.15
25704,12,5.2
25717,1,15.68
25717,2,18.04
25717,3,18.39
25717,4,17.1
25717,5,14.18
25717,6,16.73
25717,7,16.15
25717,8,11.38
25717,9,15.01
25717,10,16.43
25717,11,20.57
25717,12,24.47
26052,1,4.52
26052,2,4.5
26052,3,3.82
26052,4,3.09
26052,5,1.85
26052,6,1.23
26052,7,0.8
26052,8,0.44
26052,9,1.21
26052,10,2.02
26052,11,3.67
26052,12,4.78
26053,1,4.55
26053,2,4.49
26053,3,3.82
26053,4,3.09
26053,5,1.85
26053,6,1.24
26053,7,0.79
26053,8,0.45
26053,9,1.21
26053,10,2.08
26053,11,3.53
26053,12,4.84
26076,1,12.13
26076,2,10.88
26076,3,10.06
26076,4,10.96
26076,5,9.15
26076,6,7.54
26076,7,5.93
26076,8,5.28
26076,9,7.11
26076,10,8.58
26076,11,13.94
26076,12,17.27
26079,1,3.41
26079,2,3.13
26079,3,2.71
26079,4,2.5
26079,5,1.6
26079,6,0.83
26079,7,0.55
26079,8,1.0
26079,9,1.24
26079,10,1.72
26079,11,4.45
26079,12,5.06
26081,1,4.93
26081,2,4.24
26081,3,2.54
26081,4,1.9
26081,5,1.25
26081,6,0.73
26081,7,0.73
26081,8,0.42
26081,9,1.1
26081,10,1.95
26081,11,8.65
26081,12,7.61
26086,1,6.58
26086,2,4.57
26086,3,1.05
26086,4,0.02
26086,5,2.93
26086,6,0.04
26086,7,0.05
26086,8,0.11
26086,9,0.1
26086,10,0.38
26086,11,6.26
26086,12,10.13
26090,1,2.29
26090,2,2.52
26090,3,2.16
26090,4,2.59
26090,5,2.95
26090,6,2.28
26090,7,1.83
26090,8,1.62
26090,9,1.63
26090,10,1.11
26090,11,2.66
26090,12,1.99
26093,1,19.41
26093,2,10.42
26093,3,6.1
26093,4,7.98
26093,5,10.38
26093,6,8.46
26093,7,8.49
26093,8,6.52
26093,9,5.61
26093,10,7.18
26093,11,7.04
26093,12,9.43
26139,1,1.1
26139,2,0.88
26139,3,0.6
26139,4,0.1
26139,5,0.02
26139,6,0.03
26139,7,0.0
26139,8,0.02
26139,9,0.88
26139,10,1.01
26139,11,1.54
26139,12,1.42
26140,1,0.62
26140,2,0.85
26140,3,0.41
26140,4,0.6
26140,5,0.74
26140,6,0.74
26140,7,0.52
26140,8,0.42
26140,9,0.37
26140,10,0.54
26140,11,0.62
26140,12,19.58
26272,1,1.13
26272,2,1.62
26272,3,0.6
26272,4,1.24
26272,5,0.82
26272,6,1.48
26272,7,1.23
26272,8,1.07
26272,9,1.22
26272,10,2.4
26272,11,1.34
26272,12,0.93
26303,1,1.12
26303,2,0.97
26303,3,0.71
26303,4,0.46
26303,5,0.28
26303,6,0.0
26303,7,0.3
26303,8,0.16
26303,9,0.24
26303,10,0.45
26303,11,1.24
26303,12,1.27
26451,1,0.33
26451,2,1.46
26451,3,0.43
26451,4,0.77
26451,5,0.56
26451,6,0.67
26451,7,0.69
26451,8,0.61
26451,9,2.27
26451,10,0.54
26451,11,0.96
26451,12,8.97
26453,1,15.96
26453,2,2.88
26453,3,0.82
26453,4,1.5
26453,5,1.48
26453,6,1.71
26453,7,1.8
26453,8,1.86
26453,9,7.65
26453,10,1.46
26453,11,3.94
26453,12,27.56
26594,1,0.46
26594,2,0.36
26594,3,0.17
26594,4,0.1
26594,5,0.16
26594,6,0.16
26594,7,3.62
26594,8,0.78
26594,9,0.41
26594,10,0.86
26594,11,0.79
26594,12,0.69
26657,1,1.77
26657,2,1.96
26657,3,1.93
26657,4,1.64
26657,5,1.39
26657,6,1.17
26657,7,1.41
26657,8,1.36
26657,9,1.66
26657,10,1.64
26657,11,1.63
26657,12,1.94
26736,1,7.04
26736,2,5.11
26736,3,3.94
26736,4,1.74
26736,5,1.14
26736,6,0.83
26736,7,6.83
26736,8,7.84
26736,9,19.52
26736,10,18.86
26736,11,16.2
26736,12,12.81
26738,1,44.09
26738,2,39.98
26738,3,35.73
26738,4,28.67
26738,5,21.04
26738,6,16.61
26738,7,42.1
26738,8,42.67
26738,9,44.6
26738,10,49.01
26738,11,48.85
26738,12,47.3
26739,1,1.25
26739,2,0.81
26739,3,0.61
26739,4,0.19
26739,5,0.0
26739,6,0.1
26739,7,0.01
26739,8,0.11
26739,9,1.34
26739,10,2.17
26739,11,2.18
26739,12,2.0
26742,1,1.77
26742,2,3.06
26742,3,2.74
26742,4,0.64
26742,5,0.93
26742,6,1.58
26742,7,1.14
26742,8,1.82
26742,9,2.58
26742,10,2.31
26742,11,4.82
26742,12,2.93
26744,1,0.56
26744,2,0.4
26744,3,0.4
26744,4,0.12
26744,5,0.04
26744,6,0.01
26744,7,3.38
26744,8,0.03
26744,9,0.2
26744,10,0.46
26744,11,0.52
26744,12,0.63
26750,1,0.49
26750,2,0.02
26750,3,0.48
26750,4,0.19
26750,5,0.2
26750,6,0.35
26750,7,0.48
26750,8,0.34
26750,9,0.93
26750,10,0.48
26750,11,0.77
26750,12,0.67
26756,1,2.56
26756,2,2.43
26756,3,2.4
26756,4,1.78
26756,5,1.81
26756,6,1.32
26756,7,13.74
26756,8,19.67
26756,9,2.47
26756,10,3.25
26756,11,2.99
26756,12,2.98
26787,1,0.15
26787,2,0.23
26787,3,0.07
26787,4,0.06
26787,5,0.07
26787,6,0.02
26787,7,0.05
26787,8,0.09
26787,9,0.13
26787,10,0.25
26787,11,0.42
26787,12,0.45
26791,1,19.16
26791,2,17.83
26791,3,15.94
26791,4,14.03
26791,5,12.98
26791,6,11.7
26791,7,44.92
26791,8,50.6
26791,9,26.15
26791,10,22.39
26791,11,21.41
26791,12,21.42
26804,1,1.66
26804,2,2.55
26804,3,0.84
26804,4,0.55
26804,5,1.01
26804,6,2.88
26804,7,1.78
26804,8,2.07
26804,9,3.05
26804,10,3.26
26804,11,2.65
26804,12,3.03
26830,1,6.39
26830,2,5.26
26830,3,4.84
26830,4,3.01
26830,5,2.56
26830,6,2.38
26830,7,6.6
26830,8,15.84
26830,9,20.86
26830,10,16.53
26830,11,13.9
26830,12,10.28
26844,1,0.35
26844,2,0.31
26844,3,0.42
26844,4,0.25
26844,5,0.44
26844,6,0.31
26844,7,0.16
26844,8,0.18
26844,9,0.34
26844,10,0.34
26844,11,0.19
26844,12,0.42
26855,1,4.41
26855,2,3.39
26855,3,2.62
26855,4,2.29
26855,5,0.52
26855,6,0.59
26855,7,2.41
26855,8,22.21
26855,9,7.48
26855,10,7.17
26855,11,6.73
26855,12,6.45
26868,1,23.02
26868,2,20.75
26868,3,20.4
26868,4,17.17
26868,5,15.41
26868,6,12.74
26868,7,49.72
26868,8,44.7
26868,9,34.44
26868,10,34.4
26868,11,32.56
26868,12,31.03
26885,1,14.93
26885,2,9.1
26885,3,6.68
26885,4,3.86
26885,5,1.66
26885,6,1.45
26885,7,42.69
26885,8,57.27
26885,9,38.37
26885,10,37.91
26885,11,35.74
26885,12,29.68
26889,1,7.26
26889,2,6.37
26889,3,5.71
26889,4,4.21
26889,5,3.03
26889,6,2.54
26889,7,8.17
26889,8,39.31
26889,9,11.89
26889,10,11.34
26889,11,10.07
26889,12,9.12
26894,1,3.13
26894,2,2.42
26894,3,2.5
26894,4,3.46
26894,5,2.21
26894,6,3.96
26894,7,3.62
26894,8,3.7
26894,9,3.62
26894,10,4.03
26894,11,3.88
26894,12,3.86
26895,1,1.77
26895,2,1.39
26895,3,1.26
26895,4,2.05
26895,5,1.24
26895,6,2.37
26895,7,2.18
26895,8,2.5
26895,9,2.34
26895,10,2.62
26895,11,2.34
26895,12,2.19
26897,1,1.5
26897,2,1.6
26897,3,1.12
26897,4,1.77
26897,5,1.21
26897,6,2.25
26897,7,1.9
26897,8,1.96
26897,9,1.68
26897,10,1.78
26897,11,1.82
26897,12,1.83
26899,1,0.98
26899,2,0.68
26899,3,0.49
26899,4,0.6
26899,5,0.68
26899,6,1.22
26899,7,1.14
26899,8,1.19
26899,9,1.12
26899,10,1.46
26899,11,1.41
26899,12,1.29
26900,1,1.55
26900,2,1.07
26900,3,1.04
26900,4,1.03
26900,5,0.96
26900,6,1.6
26900,7,1.55
26900,8,1.51
26900,9,1.57
26900,10,1.91
26900,11,1.8
26900,12,1.71
26901,1,2.56
26901,2,1.71
26901,3,1.57
26901,4,1.67
26901,5,1.53
26901,6,2.62
26901,7,2.01
26901,8,3.14
26901,9,2.73
26901,10,2.73
26901,11,2.77
26901,12,2.68
26908,1,7.31
26908,2,5.13
26908,3,4.0
26908,4,2.37
26908,5,2.06
26908,6,1.5
26908,7,4.5
26908,8,27.69
26908,9,13.55
26908,10,14.61
26908,11,13.55
26908,12,12.66
26910,1,0.71
26910,2,0.41
26910,3,0.39
26910,4,0.31
26910,5,0.22
26910,6,0.2
26910,7,0.01
26910,8,6.52
26910,9,1.54
26910,10,1.7
26910,11,1.64
26910,12,1.52
26916,1,1.61
26916,2,1.34
26916,3,1.05
26916,4,0.64
26916,5,0.33
26916,6,0.12
26916,7,8.38
26916,8,0.92
26916,9,1.5
26916,10,2.65
26916,11,2.51
26916,12,2.66
26920,1,0.71
26920,2,0.54
26920,3,0.34
26920,4,0.19
26920,5,0.1
26920,6,0.02
26920,7,8.71
26920,8,2.41
26920,9,1.3
26920,10,1.58
26920,11,1.43
26920,12,1.28
26941,1,1.7
26941,2,1.22
26941,3,0.46
26941,4,0.28
26941,5,0.04
26941,6,0.03
26941,7,0.63
26941,8,2.78
26941,9,2.98
26941,10,3.04
26941,11,2.78
26941,12,2.64
26942,1,1.12
26942,2,0.93
26942,3,0.54
26942,4,0.25
26942,5,0.45
26942,6,0.51
26942,7,0.74
26942,8,0.88
26942,9,0.62
26942,10,1.02
26942,11,0.9
26942,12,0.9
26944,1,1.19
26944,2,1.29
26944,3,0.76
26944,4,0.46
26944,5,1.17
26944,6,0.87
26944,7,1.07
26944,8,1.26
26944,9,0.92
26944,10,1.24
26944,11,1.1
26944,12,1.1
26947,1,17.75
26947,2,23.01
26947,3,30.89
26947,4,25.05
26947,5,17.73
26947,6,17.54
26947,7,16.86
26947,8,15.76
26947,9,16.54
26947,10,16.99
26947,11,24.06
26947,12,21.95
26951,1,7.12
26951,2,8.99
26951,3,14.5
26951,4,11.01
26951,5,7.64
26951,6,8.11
26951,7,9.27
26951,8,8.53
26951,9,7.06
26951,10,8.89
26951,11,23.64
26951,12,21.06
27008,1,0.79
27008,2,0.52
27008,3,0.4
27008,4,0.18
27008,5,0.03
27008,6,0.22
27008,7,0.3
27008,8,0.54
27008,9,0.9
27008,10,1.0
27008,11,0.76
27008,12,0.83
27010,1,0.78
27010,2,0.61
27010,3,0.37
27010,4,0.2
27010,5,0.15
27010,6,0.33
27010,7,0.47
27010,8,0.44
27010,9,0.73
27010,10,0.82
27010,11,0.74
27010,12,0.74
27034,1,0.67
27034,2,1.18
27034,3,1.97
27034,4,1.71
27034,5,0.73
27034,6,0.3
27034,7,0.22
27034,8,0.25
27034,9,0.42
27034,10,0.48
27034,11,0.65
27034,12,0.73
27110,1,2.41
27110,2,2.56
27110,3,3.44
27110,4,2.42
27110,5,3.01
27110,6,2.4
27110,7,3.12
27110,8,1.91
27110,9,3.78
27110,10,4.15
27110,11,5.27
27110,12,4.17
27113,1,4.76
27113,2,3.64
27113,3,5.35
27113,4,2.92
27113,5,3.97
27113,6,26.5
27113,7,6.16
27113,8,3.86
27113,9,4.65
27113,10,4.16
27113,11,4.61
27113,12,6.16
27124,1,1.64
27124,2,0.84
27124,3,1.33
27124,4,0.8
27124,5,1.32
27124,6,0.94
27124,7,2.28
27124,8,1.6
27124,9,1.62
27124,10,1.43
27124,11,1.52
27124,12,1.27
27129,1,0.06
27129,2,0.03
27129,3,0.02
27129,4,0.04
27129,5,0.12
27129,6,0.04
27129,7,0.08
27129,8,0.1
27129,9,0.03
27129,10,0.08
27129,11,0.07
27129,12,0.08
