cluster_id,region,n_reservoirs,reservoir_ids,depot_lat,depot_lon,countries,annual_void_m3,annual_void_mm3,annual_revenue_usd,transport_cost_usd,annual_capex_usd,net_annual_value_usd,payback_years,mean_depot_distance_km,fill_correlation,viable,rank
59,Med / Middle East,11,"9068,9073,9098,16593,16616,16643,16648,16649,27557,37186,37191",35.5475,35.995,"Syria,Turkey,Lebanon",263774095.0,263.774,131887048.0,7794.0,500000.0,131379254.0,0.0,39.39,0.0,True,36
51,N Brazil,34,"8257,8263,8264,12623,12624,12629,12632,12640,12643,12648,12688,12712,12716,12723,25236,25239,25282,25290,25309,28629,28631,28655,28657,30058,30104,30115,30121,30137,32978,32994,33000,33014,33040,33041",-3.945,-38.5301,Brazil,250265599.0,250.266,125132803.0,5370.0,500000.0,124627433.0,0.0,28.61,0.6788,True,37
5,Caribbean,3,"1103,8201,8202",11.3365,-69.6234,Venezuela,221067286.0,221.067,110533643.0,8400.0,500000.0,110025243.0,0.0,50.66,0.2545,True,38
38,S Ocean,22,"5500,5503,6813,6814,6816,6820,6822,6823,6824,6825,6826,6827,6828,7305,7306,10803,10808,24838,24847,24852,24881,25229",-37.0915,175.1282,New Zealand,203203208.0,203.203,101601602.0,8907.0,500000.0,101092695.0,0.0,58.44,0.0,True,39
64,S Asia,7,"10475,10494,10513,22903,22937,22950,22952",12.1203,79.8745,India,201068509.0,201.069,100534255.0,6029.0,500000.0,100028226.0,0.0,39.98,0.577,True,40
52,S America,18,"8511,8514,8516,8518,14267,14315,14518,14861,14873,14965,15023,15026,15039,15044,15052,15061,15094,15113",-31.6209,-52.1983,Brazil,198352197.0,198.352,99176098.0,4289.0,500000.0,98671809.0,0.1,28.83,0.1573,True,41
36,S Africa,58,"5470,5471,5472,6802,6805,6806,6807,6808,24810,24818,24819,24820,24821,24822,24825,24826,25213,25216,28460,28461,28462,29860,29861,29862,29863,29864,29865,29866,29867,29868,29869,29870,29871,29872,29873,29874,29875,29876,29877,29878,29879,32585,32586,32587,32588,32589,32590,32591,32592,32593,32594,32595,32596,32597,32598,32599,32600,41051",-34.1902,18.959,South Africa,195294773.0,195.295,97647389.0,1904.0,500000.0,97145485.0,0.1,13.0,0.3069,True,42
55,Med / Middle East,7,"8796,8798,8800,8816,15836,15850,15859",44.6486,33.9841,Ukraine,190450499.0,190.45,95225250.0,8860.0,500000.0,94716390.0,0.1,62.03,0.0,True,43
69,Equatorial Africa,5,"10678,10679,10680,23319,23320",-8.7301,116.2683,Indonesia,167856156.0,167.856,83928077.0,6377.0,500000.0,83421700.0,0.1,50.65,0.7764,True,44
35,S Africa,9,"5467,5468,6796,6798,6803,24811,24812,24815,24817",-34.0731,24.6546,South Africa,160809600.0,160.81,80404802.0,3768.0,500000.0,79901034.0,0.1,31.24,0.2003,True,45
37,Australia,11,"5481,5483,6810,6811,6812,24773,24780,24804,24806,24832,24833",-35.0286,138.6766,Australia,160061857.0,160.062,80030929.0,4552.0,500000.0,79526377.0,0.1,37.92,0.2688,True,46
54,Med / Middle East,5,"8765,8769,8771,8772,15708",47.2324,37.4916,"Russia,Ukraine",132453384.0,132.453,66226692.0,5668.0,500000.0,65721024.0,0.1,57.06,0.0,True,47
53,S America,5,"8538,15271,15272,15274,15275",-33.1526,-71.5245,Chile,126263123.0,126.263,63131561.0,3090.0,500000.0,62628471.0,0.1,32.63,0.2086,True,48
18,E USA,3,"2251,2257,35833",46.5637,-60.5565,Canada,122299878.0,122.3,61149939.0,235.0,500000.0,60649704.0,0.1,2.57,0.0,True,49
78,W Africa,3,"6448,7080,37347",30.7723,-9.6768,Morocco,111695512.0,111.696,55847755.0,705.0,500000.0,55347050.0,0.1,8.41,0.0,True,50
8,E Asia,7,"1472,4132,4191,16157,16213,32034,34600",40.044,119.6882,China,96077676.0,96.078,48038839.0,2724.0,500000.0,47536115.0,0.1,37.8,0.0,True,51
39,S Ocean,5,"5522,5524,6834,24884,25227",-38.0914,144.4042,Australia,90730744.0,90.731,45365373.0,4144.0,500000.0,44861229.0,0.1,60.89,0.0,True,52
62,SE Asia,9,"10177,10208,10214,21398,21409,21465,21605,21629,26594",17.5685,82.8531,India,87588246.0,87.588,43794126.0,5583.0,500000.0,43288543.0,0.1,84.99,0.2599,True,53
34,S Africa,4,"5448,5450,6775,29715",-32.9799,27.7072,South Africa,87110486.0,87.11,43555243.0,204.0,500000.0,43055039.0,0.1,3.12,0.1865,True,54
68,Equatorial Africa,3,"10665,10675,23309",-7.0067,109.2049,Indonesia,86171209.0,86.171,43085604.0,2641.0,500000.0,42582963.0,0.1,40.87,0.6109,True,55
14,Equatorial Africa,5,"1985,5228,5229,5230,5232",5.5797,-0.3648,Ghana,84980448.0,84.98,42490224.0,3910.0,500000.0,41986314.0,0.1,61.35,0.2007,True,56
41,SE Asia,8,"6523,6524,6525,27110,27113,27124,27129,31207",26.6491,128.2043,Japan,84174239.0,84.174,42087119.0,959.0,500000.0,41586160.0,0.1,15.19,0.1203,True,57
57,Med / Middle East,6,"8900,16191,16242,16344,16383,37304",38.5912,16.4104,Italy,72539071.0,72.539,36269536.0,3903.0,500000.0,35765633.0,0.1,71.74,0.0,True,58
23,Med / Middle East,6,"3847,3887,15776,15807,15893,15944",45.365,14.7037,"Croatia,Slovenia",71254913.0,71.255,35627456.0,3482.0,500000.0,35123974.0,0.1,65.16,0.0,True,59
66,Equatorial Africa,3,"10645,10647,23279",-2.429,40.6658,Kenya,65986848.0,65.987,32993424.0,2666.0,500000.0,32490758.0,0.2,53.87,0.227,True,60
40,W Europe,3,"5938,15976,27999",43.2213,-1.8778,Spain,54938631.0,54.939,27469316.0,93.0,500000.0,26969223.0,0.2,2.25,0.0,True,61
56,E Asia,3,"8844,15957,34436",43.2385,132.1935,Russia,52831264.0,52.831,26415632.0,740.0,500000.0,25914892.0,0.2,18.69,0.0,True,62
60,S Asia,3,"9482,27034,31162",25.3755,62.2947,Pakistan,52772146.0,52.772,26386072.0,352.0,500000.0,25885720.0,0.2,8.88,0.7876,True,63
67,Equatorial Africa,4,"10663,10667,23307,23308",-6.8582,111.9439,Indonesia,49076680.0,49.077,24538340.0,4006.0,500000.0,24034334.0,0.2,108.85,0.5439,True,64
71,Caribbean,9,"12076,12081,12093,12102,12103,12104,12105,32815,32816",23.2999,-106.2828,Mexico,45043190.0,45.043,22521594.0,2404.0,500000.0,22019190.0,0.2,71.15,0.3895,True,65
50,Caribbean,5,"8097,12226,12227,28598,32807",21.7833,-79.6719,Cuba,36140450.0,36.14,18070226.0,95.0,500000.0,17570131.0,0.3,3.51,0.8701,True,66
4,E USA,7,"674,2442,10975,32102,32168,32202,32205",43.8006,-124.1172,United States,34167236.0,34.167,17083619.0,502.0,500000.0,16583117.0,0.3,19.59,0.0,True,67
33,Australia,6,"5420,24565,29591,29592,29593,29613",-29.5906,31.0355,South Africa,29449773.0,29.45,14724886.0,157.0,500000.0,14224729.0,0.3,7.13,0.2184,True,68
70,S Ocean,3,"10816,25414,41134",-42.679,171.1972,New Zealand,28743114.0,28.743,14371558.0,104.0,500000.0,13871454.0,0.3,4.84,0.0,True,69
42,S Ocean,7,"6841,6842,6843,7308,7309,7310,24896",-41.5728,173.9311,New Zealand,24979632.0,24.98,12489818.0,518.0,500000.0,11989300.0,0.4,27.63,0.0,True,70
47,Caribbean,8,"8006,12006,12008,12009,12011,12013,27274,27279",30.5581,-88.5217,United States,24386921.0,24.387,12193461.0,256.0,500000.0,11693205.0,0.4,13.99,0.0,True,71
77,Australia,8,"6769,24721,24824,24834,29739,29759,29855,32342",-32.1532,116.0819,Australia,22916394.0,22.916,11458199.0,2353.0,500000.0,10955846.0,0.4,136.9,0.3042,True,72
29,SE Asia,3,"4970,6543,6544",24.4267,124.2194,Japan,18976821.0,18.977,9488410.0,17.0,500000.0,8988393.0,0.5,1.18,0.4869,True,73
49,Caribbean,10,"8094,12200,12208,26844,31027,31034,31039,31052,31053,31054",21.9171,-159.4516,United States,18600774.0,18.601,9300389.0,117.0,500000.0,8800272.0,0.5,8.41,0.2045,True,74
74,Equatorial Africa,3,"23092,23093,28231",9.8272,124.3142,Philippines,17455867.0,17.456,8727933.0,105.0,500000.0,8227828.0,0.6,7.99,0.1771,True,75
75,Equatorial Africa,3,"23144,23147,23152",8.2829,77.4084,India,10750399.0,10.75,5375199.0,54.0,500000.0,4875145.0,0.9,6.71,0.4798,True,76
72,Caribbean,13,"12488,25695,25696,30671,30672,30673,30674,30675,30676,30677,30678,30679,30680",10.8922,-74.9146,Colombia,10496812.0,10.497,5248407.0,241.0,500000.0,4748166.0,1.0,30.65,0.745,True,77
76,Equatorial Africa,3,"23234,23235,23236",5.3217,119.1169,Malaysia,7897806.0,7.898,3948903.0,45.0,500000.0,3448858.0,1.3,7.59,-0.0297,True,78
73,E Asia,3,"15696,15725,32248",46.8718,142.5949,Russia,6377002.0,6.377,3188501.0,157.0,500000.0,2688344.0,1.6,32.84,0.0,True,79
